,correlation
lw,0.5656816616429237
hw,0.5244994491530869
tw,0.2548632657947657
f′c,0.15793961785025437
fyt,0.09784327501439044
fysh,0.20734881014493425
fyl,0.10074245814967703
fybl,0.016920816118085068
ρt,0.07000564377693576
ρsh,0.05274573368772357
ρl,-0.01205777503175269
ρbl,-0.021327936528882877
P/(Agf′c),-0.14113902458035094
b0,0.2037320755690879
db,0.32673955497202145
s/db,-0.10500262275134765
AR,0.06608472406400448
M/Vlw,0.10790753440355177
